Timestamp,Peer ID,Type,Peer,Message
2025-02-28 12:46:22,P3,Connected,P1,Established connection
2025-02-28 12:46:22,P3,Connected,P2,Established connection
2025-02-28 12:46:22,P3,Connected,P4,Established connection
2025-02-28 12:46:22,P3,Sent,P4,Hello from P3 at 12:46:22
2025-02-28 12:46:22,P3,Sent,P2,Hello from P3 at 12:46:22
2025-02-28 12:46:22,P3,Sent,P1,Hello from P3 at 12:46:22
2025-02-28 12:46:22,P3,Received,P4,Hello from P4 at 12:46:22
2025-02-28 12:46:22,P3,Received,P2,Hello from P2 at 12:46:22
2025-02-28 12:46:22,P3,Received,P1,Hello from P1 at 12:46:22
2025-02-28 12:46:22,P4,Connected,P1,Established connection
2025-02-28 12:46:22,P4,Connected,P2,Established connection
2025-02-28 12:46:22,P4,Connected,P3,Established connection
2025-02-28 12:46:22,P4,Sent,P1,Hello from P4 at 12:46:22
2025-02-28 12:46:22,P4,Sent,P2,Hello from P4 at 12:46:22
2025-02-28 12:46:22,P4,Sent,P3,Hello from P4 at 12:46:22
2025-02-28 12:46:22,P4,Received,P1,Hello from P1 at 12:46:22
2025-02-28 12:46:22,P4,Received,P3,Hello from P3 at 12:46:22
2025-02-28 12:46:22,P4,Received,P2,Hello from P2 at 12:46:22
2025-02-28 12:46:22,P1,Connected,P2,Established connection
2025-02-28 12:46:22,P1,Connected,P3,Established connection
2025-02-28 12:46:22,P1,Connected,P4,Established connection
2025-02-28 12:46:22,P1,Sent,P4,Hello from P1 at 12:46:22
2025-02-28 12:46:22,P1,Sent,P2,Hello from P1 at 12:46:22
2025-02-28 12:46:22,P1,Sent,P3,Hello from P1 at 12:46:22
2025-02-28 12:46:22,P1,Received,P4,Hello from P4 at 12:46:22
2025-02-28 12:46:22,P1,Received,P3,Hello from P3 at 12:46:22
2025-02-28 12:46:22,P1,Received,P2,Hello from P2 at 12:46:22
2025-02-28 12:46:22,P2,Connected,P1,Established connection
2025-02-28 12:46:22,P2,Connected,P3,Established connection
2025-02-28 12:46:22,P2,Connected,P4,Established connection
2025-02-28 12:46:22,P2,Sent,P3,Hello from P2 at 12:46:22
2025-02-28 12:46:22,P2,Sent,P1,Hello from P2 at 12:46:22
